[1/24/20 | 23:08]: Nugget#5345 (385432478526996492) said nigger. MESSAGE CONTENT: nigger
[1/24/20 | 23:19]: Nugget#5345 (385432478526996492) said shit. MESSAGE CONTENT: this cheat rly likes to dump shit
[1/24/20 | 23:21]: Nugget#5345 (385432478526996492) said fuck. MESSAGE CONTENT: fuckin donkey
[2/14/20 | 15:40]: Fallen#4585 (292773664750043138) said shit. MESSAGE CONTENT: yay I get to be thrown back to depression and shit yay
[2/14/20 | 18:01]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[2/14/20 | 18:01]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: holy fuck
[2/18/20 | 15:54]: Fallen#4585 (292773664750043138) said fortnite. MESSAGE CONTENT: fortnite
[2/22/20 | 20:53]: noone and everyone#1374 (506614097190584352) said fuck. MESSAGE CONTENT: fuck
[2/22/20 | 20:55]: noone and everyone#1374 (506614097190584352) said fuck. MESSAGE CONTENT: fuck
[2/22/20 | 22:00]: noone and everyone#1374 (506614097190584352) said fuck. MESSAGE CONTENT: fuck
[2/23/20 | 3:02]: noone and everyone#1374 (506614097190584352) said damn. MESSAGE CONTENT: damn
[4/26/20 | 10:23]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[4/26/20 | 10:35]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[4/26/20 | 10:36]: Robbyomg#8807 (473934239109218305) said fortnite. MESSAGE CONTENT: fortnite
[4/26/20 | 10:45]: who.ru#5777 (506614097190584352) said fuck. MESSAGE CONTENT: fuck
[6/23/20 | 0:52]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[6/23/20 | 0:52]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[6/23/20 | 0:52]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[6/23/20 | 0:53]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[6/23/20 | 0:53]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[6/23/20 | 0:53]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[6/23/20 | 0:54]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[6/23/20 | 0:54]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[6/23/20 | 0:55]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[6/23/20 | 1:03]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[6/23/20 | 1:06]: Dexterity#7481 (695161353534439424) said fuck. MESSAGE CONTENT: Fuck u
[6/23/20 | 1:06]: Fallen#4585 (292773664750043138) said nigger. MESSAGE CONTENT: nigger
[6/23/20 | 1:11]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[6/23/20 | 2:48]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: FUCK
[6/23/20 | 3:35]: Fallen#4585 (292773664750043138) said nigger. MESSAGE CONTENT: .geo nigger
[6/23/20 | 20:26]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[6/23/20 | 20:26]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fucku
[6/23/20 | 20:26]: Fallen#4585 (292773664750043138) said ass. MESSAGE CONTENT: assassin
[6/23/20 | 20:26]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[7/5/20 | 2:37]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuckin hell
[7/5/20 | 2:37]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: FUCK
[7/5/20 | 3:03]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[7/5/20 | 3:08]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[7/5/20 | 3:08]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[7/5/20 | 3:11]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[7/5/20 | 3:11]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[7/5/20 | 3:12]: Fallen#4585 (292773664750043138) said fuck. MESSAGE CONTENT: fuck
[7/5/20 | 3:13]: fallen got deactivated#5777 (506614097190584352) said fuck. MESSAGE CONTENT: fuck
[7/5/20 | 3:21]: fallen got deactivated#5777 (506614097190584352) said fuck. MESSAGE CONTENT: fuck
[7/5/20 | 21:31]: Fallen#4585 (292773664750043138) said shit. MESSAGE CONTENT: i get pictures an shit
