[6/23/20 | 6:04]: Fallen#4585 traced 204.48.18.131.
[6/23/20 | 6:08]: Fallen#4585 traced 204.48.18.131.
[6/23/20 | 6:09]: Fallen#4585 traced 204.48.18.131.
[6/23/20 | 6:10]: Fallen#4585 traced 204.48.18.131.
[6/23/20 | 6:12]: Fallen#4585 traced 204.48.18.131.
[6/23/20 | 6:12]: Fallen#4585 traced 204.48.18.131.
[6/23/20 | 6:12]: Fallen#4585 traced 204.48.18.131.
[6/23/20 | 6:16]: Fallen#4585 traced 204.48.18.131.
[6/23/20 | 6:17]: Fallen#4585 traced 204.48.18.131.
[6/23/20 | 6:18]: Fallen#4585 traced 204.48.18.131.
[6/23/20 | 6:20]: Fallen#4585 traced 204.48.18.131321738912.
[6/23/20 | 6:20]: Fallen#4585 traced 204.48.18.131dasda.
